i;tmja_avant;tmja_apres;diff_tmja
0;0;1.0;1.0
1;0;0;0
2;16;16.0;0.0
3;1;1.0;0.0
4;5;5.0;0.0
5;0;2.0;2.0
6;0;1.0;1.0
7;0;0;0
8;2;2.0;0.0
9;0;1.0;1.0
10;2;2.0;0.0
11;2;2.0;0.0
12;0;0;0
13;7;7.0;0.0
14;0;0;0
15;2;2.0;0.0
16;4;4.0;0.0
17;2;2.0;0.0
18;6;6.0;0.0
19;1;1.0;0.0
20;2;2.0;0.0
21;1;1.0;0.0
22;0;1.0;1.0
23;1;0;1
24;0;0;0
25;1;1.0;0.0
26;0;0;0
27;6;6.0;0.0
28;13;13.0;0.0
29;5;5.0;0.0
30;4;4.0;0.0
31;0;0;0
32;0;1.0;1.0
33;1;1.0;0.0
34;0;0;0
35;1;1.0;0.0
36;0;0;0
37;0;0;0
38;0;1.0;1.0
39;11;11.0;0.0
40;12;12.0;0.0
41;0;0;0
42;0;1.0;1.0
43;2;2.0;0.0
44;0;0;0
45;1;1.0;0.0
46;0;0;0
47;0;0;0
48;1;1.0;0.0
49;6;0;6
50;6;5.0;1.0
51;1;5.0;4.0
52;10;10.0;0.0
53;0;0;0
54;0;1.0;1.0
55;9;9.0;0.0
56;2;2.0;0.0
57;0;0;0
58;3;3.0;0.0
59;8;8.0;0.0
60;2;2.0;0.0
61;8;8.0;0.0
62;5;6.0;1.0
63;16;15.0;1.0
64;12;12.0;0.0
65;5;5.0;0.0
66;21;21.0;0.0
67;0;0;0
68;0;0;0
69;1;1.0;0.0
70;0;0;0
71;4;4.0;0.0
72;1;1.0;0.0
73;0;0;0
74;1;1.0;0.0
75;0;0;0
76;1;1.0;0.0
77;0;1.0;1.0
78;3;3.0;0.0
79;11;13.0;2.0
80;3;3.0;0.0
81;14;15.0;1.0
82;0;1.0;1.0
83;13;13.0;0.0
84;1;1.0;0.0
85;6;6.0;0.0
86;0;1.0;1.0
87;0;0;0
88;0;1.0;1.0
89;3;2.0;1.0
90;10;10.0;0.0
91;6;6.0;0.0
92;8;10.0;2.0
93;3;3.0;0.0
94;5;4.0;1.0
95;7;7.0;0.0
96;0;0;0
97;0;0;0
98;15;15.0;0.0
99;0;0;0
100;0;0;0
101;0;0;0
102;1;1.0;0.0
103;14;14.0;0.0
104;1;1.0;0.0
105;0;1.0;1.0
106;1;1.0;0.0
107;1;1.0;0.0
108;6;6.0;0.0
109;0;1.0;1.0
110;2;1.0;1.0
111;1;1.0;0.0
112;6;6.0;0.0
113;6;6.0;0.0
114;0;0;0
115;0;2.0;2.0
116;2;2.0;0.0
117;3;2.0;1.0
118;0;1.0;1.0
119;3;3.0;0.0
120;0;0;0
121;6;4.0;2.0
122;6;3.0;3.0
123;4;4.0;0.0
124;6;7.0;1.0
125;9;9.0;0.0
126;0;0;0
127;2;2.0;0.0
128;9;9.0;0.0
129;2;2.0;0.0
130;4;4.0;0.0
131;7;7.0;0.0
132;9;11.0;2.0
133;0;0;0
134;0;1.0;1.0
135;12;12.0;0.0
136;1;1.0;0.0
137;0;0;0
138;0;0;0
139;6;6.0;0.0
140;0;0;0
141;3;0;3
142;3;3.0;0.0
143;11;11.0;0.0
144;17;17.0;0.0
145;7;7.0;0.0
146;0;0;0
147;7;7.0;0.0
148;7;7.0;0.0
149;7;7.0;0.0
150;0;1.0;1.0
151;0;0;0
152;0;0;0
153;0;2.0;2.0
154;1;0;1
155;1;1.0;0.0
156;3;3.0;0.0
157;0;0;0
158;1;0;1
159;1;1.0;0.0
160;0;2.0;2.0
161;0;0;0
162;0;0;0
163;2;2.0;0.0
164;0;0;0
165;2;2.0;0.0
166;0;0;0
167;5;5.0;0.0
168;0;0;0
169;0;0;0
170;2;2.0;0.0
171;2;1.0;1.0
172;2;2.0;0.0
173;0;0;0
174;0;0;0
175;0;0;0
176;2;2.0;0.0
177;0;2.0;2.0
178;2;2.0;0.0
179;0;0;0
180;0;0;0
181;0;1.0;1.0
182;2;2.0;0.0
183;0;0;0
184;2;2.0;0.0
185;3;3.0;0.0
186;0;0;0
187;2;0;2
188;9;9.0;0.0
189;5;5.0;0.0
190;2;2.0;0.0
191;6;6.0;0.0
192;2;2.0;0.0
193;4;4.0;0.0
194;0;0;0
195;2;2.0;0.0
196;4;4.0;0.0
197;6;6.0;0.0
198;0;0;0
199;0;1.0;1.0
200;4;4.0;0.0
201;2;3.0;1.0
202;2;2.0;0.0
203;1;1.0;0.0
204;1;1.0;0.0
205;0;1.0;1.0
206;0;1.0;1.0
207;0;0;0
208;6;6.0;0.0
209;0;0;0
210;0;1.0;1.0
211;0;1.0;1.0
212;0;1.0;1.0
213;1;1.0;0.0
214;2;2.0;0.0
215;2;2.0;0.0
216;3;3.0;0.0
217;0;0;0
