i;tmja_avant;tmja_apres;diff_tmja
1;39;49.0;10.0
2;6;4.0;2.0
3;200;221.0;21.0
4;48;17.0;31.0
5;133;183.0;50.0
6;453;430.0;23.0
7;387;386.0;1.0
8;11;13.0;2.0
9;23;2.0;21.0
11;25;37.0;12.0
12;43;25.0;18.0
13;30;13.0;17.0
14;0;40.0;40.0
15;771;771.0;0.0
16;17;25.0;8.0
17;73;78.0;5.0
18;124;126.0;2.0
19;528;0;528
20;1725;1740.0;15.0
21;215;241.0;26.0
22;2045;2045.0;0.0
23;485;488.0;3.0
24;57;37.0;20.0
25;245;0;245
26;17;1.0;16.0
27;2042;2056.0;14.0
28;165;127.0;38.0
29;189;147.0;42.0
30;650;627.0;23.0
31;73;0;73
32;20;166.0;146.0
33;282;291.0;9.0
34;26;30.0;4.0
35;445;453.0;8.0
36;0;21.0;21.0
37;142;30.0;112.0
38;25;20.0;5.0
39;902;746.0;156.0
40;730;0;730
41;687;689.0;2.0
42;951;199.0;752.0
43;0;8.0;8.0
44;108;158.0;50.0
46;16;53.0;37.0
47;85;100.0;15.0
48;44;57.0;13.0
49;47;43.0;4.0
50;136;161.0;25.0
51;321;324.0;3.0
52;190;218.0;28.0
53;1;9.0;8.0
54;106;64.0;42.0
55;20;16.0;4.0
56;169;199.0;30.0
57;166;176.0;10.0
58;0;18.0;18.0
59;942;937.0;5.0
60;75;66.0;9.0
61;59;61.0;2.0
62;18;28.0;10.0
63;56;84.0;28.0
64;44;85.0;41.0
65;27;39.0;12.0
67;108;62.0;46.0
68;311;285.0;26.0
70;0;17.0;17.0
71;0;3.0;3.0
72;9;19.0;10.0
73;30;117.0;87.0
74;1;0;1
75;55;90.0;35.0
76;7;16.0;9.0
77;301;352.0;51.0
78;11;0;11
79;1186;1215.0;29.0
80;1010;1008.0;2.0
81;26;50.0;24.0
82;476;537.0;61.0
83;19;36.0;17.0
84;0;87.0;87.0
85;56;91.0;35.0
86;118;115.0;3.0
87;211;251.0;40.0
88;158;180.0;22.0
89;41;38.0;3.0
90;1111;1115.0;4.0
91;881;887.0;6.0
92;227;269.0;42.0
93;27;18.0;9.0
94;27;16.0;11.0
96;42;0;42
97;68;119.0;51.0
98;0;18.0;18.0
99;15;0;15
100;56;60.0;4.0
101;165;201.0;36.0
102;12;0;12
103;343;248.0;95.0
104;15;0;15
105;463;457.0;6.0
106;582;692.0;110.0
107;120;0;120
108;127;165.0;38.0
109;36;0;36
110;55;71.0;16.0
111;30;50.0;20.0
112;649;0;649
113;46;101.0;55.0
114;867;198.0;669.0
115;157;132.0;25.0
116;11;0;11
117;0;29.0;29.0
118;23;0;23
119;234;243.0;9.0
120;842;887.0;45.0
121;19;82.0;63.0
122;12;60.0;48.0
123;62;54.0;8.0
124;0;12.0;12.0
125;39;10.0;29.0
126;281;245.0;36.0
127;14;0;14
128;13;5.0;8.0
129;9;17.0;8.0
130;223;239.0;16.0
131;21;18.0;3.0
132;157;204.0;47.0
133;304;191.0;113.0
135;33;56.0;23.0
136;15;0;15
137;0;4.0;4.0
138;24;0;24
139;542;14.0;528.0
140;0;5.0;5.0
141;30;55.0;25.0
142;0;11.0;11.0
143;133;156.0;23.0
144;0;15.0;15.0
145;119;163.0;44.0
147;88;117.0;29.0
148;22;1.0;21.0
149;1301;1298.0;3.0
150;422;330.0;92.0
151;210;209.0;1.0
152;0;11.0;11.0
155;76;131.0;55.0
156;17;23.0;6.0
157;997;969.0;28.0
158;12;0;12
159;62;58.0;4.0
160;9;8.0;1.0
161;21;26.0;5.0
162;105;121.0;16.0
163;20;33.0;13.0
164;16;31.0;15.0
165;24;17.0;7.0
166;30;29.0;1.0
167;371;239.0;132.0
168;321;320.0;1.0
169;1537;1562.0;25.0
170;380;239.0;141.0
171;68;55.0;13.0
173;931;978.0;47.0
174;1561;1512.0;49.0
175;1079;1096.0;17.0
176;539;538.0;1.0
177;395;121.0;274.0
178;248;294.0;46.0
179;23;50.0;27.0
180;15;19.0;4.0
181;173;0;173
182;58;94.0;36.0
183;466;3.0;463.0
184;637;661.0;24.0
185;101;115.0;14.0
186;36;13.0;23.0
187;0;79.0;79.0
190;0;15.0;15.0
191;356;353.0;3.0
192;55;25.0;30.0
193;70;99.0;29.0
194;160;168.0;8.0
195;232;231.0;1.0
196;203;149.0;54.0
197;39;64.0;25.0
198;51;50.0;1.0
199;1099;1151.0;52.0
200;1043;1063.0;20.0
201;1584;1577.0;7.0
202;1056;1067.0;11.0
203;36;62.0;26.0
204;5;0;5
205;706;706.0;0.0
206;697;702.0;5.0
207;695;720.0;25.0
208;234;228.0;6.0
209;29;5.0;24.0
210;43;68.0;25.0
211;445;0;445
212;106;107.0;1.0
213;101;97.0;4.0
214;37;53.0;16.0
