i;tmja_avant;tmja_apres;diff_tmja
1;12;0;12
2;43;0;43
3;246;0;246
4;240;0;240
5;9;36.0;27.0
6;138;11.0;127.0
7;169;78.0;91.0
8;700;797.0;97.0
9;49;14.0;35.0
10;145;94.0;51.0
11;438;415.0;23.0
12;390;429.0;39.0
13;508;474.0;34.0
14;106;135.0;29.0
15;135;0;135
16;7;0;7
17;73;84.0;11.0
18;21;0;21
19;21;60.0;39.0
20;510;489.0;21.0
23;839;864.0;25.0
24;166;0;166
25;35;269.0;234.0
26;102;102.0;0.0
27;24;0;24
28;296;0;296
29;284;378.0;94.0
30;32;0;32
31;632;554.0;78.0
32;520;345.0;175.0
33;473;254.0;219.0
34;123;22.0;101.0
35;612;284.0;328.0
36;1333;1393.0;60.0
37;539;73.0;466.0
38;879;694.0;185.0
39;215;275.0;60.0
40;167;197.0;30.0
41;221;159.0;62.0
42;1541;1217.0;324.0
43;1995;2019.0;24.0
44;82;0;82
45;488;444.0;44.0
46;11;0;11
47;104;115.0;11.0
48;974;1034.0;60.0
49;415;0;415
50;242;0;242
51;725;750.0;25.0
52;7;0;7
53;2035;1825.0;210.0
54;192;59.0;133.0
55;1822;1788.0;34.0
56;215;63.0;152.0
57;152;0;152
58;17;0;17
59;292;676.0;384.0
60;303;0;303
61;2;0;2
62;189;156.0;33.0
63;34;15.0;19.0
64;424;420.0;4.0
65;358;0;358
66;288;378.0;90.0
67;227;188.0;39.0
68;335;0;335
70;135;109.0;26.0
71;343;329.0;14.0
72;358;30.0;328.0
73;1032;975.0;57.0
74;20;0;20
75;39;0;39
76;52;0;52
77;89;0;89
79;268;424.0;156.0
80;1583;1565.0;18.0
81;964;171.0;793.0
82;712;810.0;98.0
83;685;0;685
85;1;0;1
86;23;36.0;13.0
87;87;64.0;23.0
88;81;40.0;41.0
89;37;68.0;31.0
90;2;0;2
91;252;257.0;5.0
92;21;0;21
93;24;66.0;42.0
94;146;0;146
95;1;32.0;31.0
96;126;0;126
97;48;0;48
98;78;122.0;44.0
99;5;27.0;22.0
100;153;21.0;132.0
101;1327;920.0;407.0
102;418;338.0;80.0
103;46;138.0;92.0
104;47;70.0;23.0
105;22;0;22
106;153;188.0;35.0
107;23;26.0;3.0
108;32;0;32
109;89;0;89
110;1068;1271.0;203.0
111;69;0;69
112;23;279.0;256.0
113;89;251.0;162.0
114;193;6.0;187.0
115;189;0;189
116;35;297.0;262.0
117;262;0;262
118;141;19.0;122.0
119;174;39.0;135.0
120;1;0;1
121;186;241.0;55.0
122;733;0;733
123;938;26.0;912.0
124;21;38.0;17.0
125;648;624.0;24.0
126;46;88.0;42.0
127;725;683.0;42.0
128;1;0;1
129;17;30.0;13.0
130;34;4.0;30.0
131;220;0;220
132;192;266.0;74.0
133;50;87.0;37.0
134;46;5.0;41.0
135;728;515.0;213.0
136;215;0;215
137;12;17.0;5.0
138;76;78.0;2.0
139;98;12.0;86.0
141;60;0;60
142;245;210.0;35.0
143;294;304.0;10.0
147;175;311.0;136.0
148;16;74.0;58.0
149;3;0;3
150;50;68.0;18.0
151;1000;962.0;38.0
152;63;94.0;31.0
153;283;422.0;139.0
154;16;0;16
155;1184;5.0;1179.0
156;351;4.0;347.0
157;1169;0;1169
158;1226;1221.0;5.0
159;20;54.0;34.0
160;459;457.0;2.0
161;55;0;55
162;22;26.0;4.0
163;75;0;75
164;135;152.0;17.0
165;335;305.0;30.0
166;319;298.0;21.0
167;162;13.0;149.0
168;1136;1096.0;40.0
169;539;424.0;115.0
170;1282;1399.0;117.0
171;18;0;18
172;52;80.0;28.0
174;319;292.0;27.0
175;549;500.0;49.0
176;282;0;282
177;17;0;17
178;219;167.0;52.0
179;174;76.0;98.0
180;122;0;122
181;31;148.0;117.0
182;111;4.0;107.0
183;81;102.0;21.0
184;18;46.0;28.0
185;1363;1341.0;22.0
186;28;0;28
187;33;26.0;7.0
188;39;65.0;26.0
189;60;0;60
190;74;139.0;65.0
191;69;165.0;96.0
192;52;0;52
193;24;448.0;424.0
194;424;0;424
195;35;0;35
196;1583;1739.0;156.0
197;19;50.0;31.0
198;948;929.0;19.0
199;89;0;89
200;45;22.0;23.0
201;900;737.0;163.0
202;209;227.0;18.0
203;44;0;44
204;25;51.0;26.0
205;68;127.0;59.0
206;18;47.0;29.0
207;310;0;310
208;27;0;27
209;46;0;46
210;24;0;24
212;66;4.0;62.0
213;12;55.0;43.0
214;1132;1359.0;227.0
217;25;132.0;107.0
218;49;0;49
219;68;226.0;158.0
220;89;0;89
221;269;0;269
222;12;41.0;29.0
223;312;91.0;221.0
224;335;239.0;96.0
225;6;0;6
226;390;355.0;35.0
227;441;0;441
228;467;268.0;199.0
229;159;0;159
230;112;0;112
231;50;14.0;36.0
232;20;0;20
233;113;261.0;148.0
234;145;0;145
235;23;199.0;176.0
236;25;0;25
237;906;107.0;799.0
238;28;166.0;138.0
239;25;0;25
240;174;93.0;81.0
241;19;0;19
242;26;0;26
244;24;3.0;21.0
245;40;53.0;13.0
246;230;262.0;32.0
247;20;0;20
248;25;26.0;1.0
249;23;51.0;28.0
250;16;60.0;44.0
251;570;623.0;53.0
252;117;56.0;61.0
253;15;0;15
254;128;118.0;10.0
255;45;68.0;23.0
256;23;0;23
257;609;471.0;138.0
258;621;465.0;156.0
259;167;173.0;6.0
260;70;119.0;49.0
262;259;80.0;179.0
263;316;0;316
264;1061;1050.0;11.0
265;22;86.0;64.0
266;34;0;34
267;13;27.0;14.0
268;878;0;878
269;15;0;15
270;6;0;6
271;17;26.0;9.0
272;9;129.0;120.0
273;33;0;33
274;24;0;24
275;258;184.0;74.0
276;35;103.0;68.0
277;23;26.0;3.0
278;23;0;23
279;50;61.0;11.0
280;11;0;11
281;147;0;147
282;148;0;148
283;16;40.0;24.0
284;316;0;316
285;341;337.0;4.0
287;48;0;48
288;50;0;50
289;25;0;25
290;76;30.0;46.0
291;22;0;22
292;17;9.0;8.0
293;70;43.0;27.0
294;27;26.0;1.0
295;31;26.0;5.0
296;22;0;22
297;190;125.0;65.0
299;23;0;23
300;21;185.0;164.0
301;23;26.0;3.0
302;15;0;15
303;75;139.0;64.0
304;23;0;23
305;519;606.0;87.0
307;67;0;67
308;45;110.0;65.0
309;21;0;21
310;97;32.0;65.0
311;1;0;1
312;24;0;24
314;51;15.0;36.0
315;143;0;143
316;42;0;42
317;32;76.0;44.0
319;132;79.0;53.0
321;50;34.0;16.0
322;1310;1357.0;47.0
