i;tmja_avant;tmja_apres;diff_tmja
1;38;215.33333333333337;177.33333333333337
2;860;687.6666666666666;172.33333333333337
3;87;0;87
4;6;28.666666666666696;22.666666666666696
5;125;32.3333333333333;92.6666666666667
6;62;0;62
7;134;226.66666666666663;92.66666666666663
8;84;0;84
9;163;63.66666666666667;99.33333333333333
10;660;601.9999999999999;58.000000000000114
11;47;15.666666666666668;31.333333333333332
12;151;0;151
13;488;0;488
14;420;15.0;405.0
15;111;0;111
16;109;332.6666666666667;223.66666666666669
17;8;0;8
18;71;27.333333333333332;43.66666666666667
19;31;0.6666666666666679;30.333333333333332
20;0;49.66666666666666;49.66666666666666
21;456;0;456
22;1084;2131.0;1047.0
23;569;404.6666666666665;164.33333333333348
24;26;49.33333333333333;23.33333333333333
26;724;733.3333333333334;9.333333333333371
27;25;43.66666666666674;18.666666666666742
28;34;0;34
29;83;0;83
30;316;887.0000000000001;571.0000000000001
31;298;0;298
32;12;0;12
33;697;641.3333333333333;55.66666666666674
34;140;106.66666666666666;33.33333333333334
35;97;0;97
36;516;446.3333333333333;69.66666666666669
37;458;68.66666666666667;389.3333333333333
38;547;425.3333333333333;121.66666666666669
39;594;717.6666666666667;123.66666666666674
40;1314;1622.9999999999998;308.9999999999998
41;534;251.3333333333334;282.66666666666663
42;22;0;22
43;87;156.6666666666667;69.66666666666671
44;68;176.6666666666667;108.66666666666671
45;40;0;40
46;832;1022.3333333333333;190.33333333333326
47;49;0;49
48;231;242.0;11.0
49;18;0;18
50;183;167.66666666666666;15.333333333333343
51;1963;1991.6666666666665;28.666666666666515
52;53;58.66666666666667;5.666666666666671
53;1671;1476.3333333333333;194.66666666666674
54;90;163.33333333333348;73.33333333333348
55;500;398.6666666666667;101.33333333333331
56;108;65.66666666666667;42.33333333333333
57;417;0;417
58;508;322.0;186.0
59;489;0;489
60;678;1444.0;766.0
61;286;0;286
62;11;0;11
63;27;66.66666666666667;39.66666666666667
64;167;148.66666666666666;18.333333333333343
65;1759;1797.3333333333333;38.33333333333326
66;194;206.33333333333334;12.333333333333343
67;133;0;133
68;686;354.6666666666667;331.3333333333333
69;21;0;21
70;291;0;291
71;318;591.0000000000001;273.0000000000001
72;8;0;8
73;31;41.33333333333333;10.333333333333329
74;28;50.33333333333333;22.33333333333333
75;348;433.00000000000017;85.00000000000017
76;227;201.66666666666666;25.333333333333343
77;334;701.3333333333335;367.3333333333335
78;388;0;388
79;0;105.66666666666669;105.66666666666669
80;118;25.666666666666668;92.33333333333333
81;347;0;347
82;988;0;988
83;13;18.666666666666668;5.666666666666668
84;825;671.3333333333334;153.66666666666663
85;38;0;38
86;54;0;54
87;249;9.333333333333332;239.66666666666666
88;945;709.0;236.0
89;719;42.33333333333334;676.6666666666666
90;678;159.0;519.0
91;929;0;929
92;75;0;75
93;46;0;46
94;90;0;90
95;1;14.0;13.0
96;285;41.666666666666686;243.33333333333331
97;160;54.33333333333333;105.66666666666667
98;108;31.666666666666668;76.33333333333333
99;1;0;1
100;25;0;25
101;55;25.333333333333332;29.666666666666668
102;79;0;79
103;1;18.333333333333332;17.333333333333332
104;20;7.333333333333329;12.666666666666671
105;135;107.66666666666667;27.33333333333333
106;45;0;45
107;25;22.333333333333332;2.666666666666668
108;76;94.33333333333333;18.33333333333333
109;1;0;1
110;36;0;36
111;48;0;48
112;44;0;44
113;82;0;82
114;1268;1473.3333333333335;205.33333333333348
115;339;0;339
116;230;167.33333333333331;62.666666666666686
117;1068;934.3333333333335;133.66666666666652
118;97;0;97
119;226;175.33333333333334;50.66666666666666
120;265;30.666666666666686;234.33333333333331
121;449;471.00000000000017;22.00000000000017
122;83;61.99999999999983;21.00000000000017
123;464;418.6666666666667;45.333333333333314
124;95;61.33333333333334;33.66666666666666
125;40;62.33333333333333;22.33333333333333
126;77;68.00000000000001;8.999999999999986
127;21;13.333333333333144;7.666666666666856
128;160;47.000000000000014;112.99999999999999
129;27;0;27
130;209;0;209
131;88;0;88
132;256;0;256
133;1003;1091.3333333333335;88.33333333333348
134;22;207.0;185.0
135;96;357.0;261.0
136;188;0;188
137;177;0;177
138;25;0;25
139;270;98.33333333333334;171.66666666666666
140;152;34.000000000000014;117.99999999999999
141;203;158.66666666666666;44.33333333333334
142;84;83.0;1.0
143;315;138.33333333333334;176.66666666666666
144;907;0;907
145;1114;814.0000000000002;299.9999999999998
146;25;0;25
147;64;0;64
148;55;53.00000000000003;1.9999999999999716
149;19;21.0;2.0
150;3;21.0;18.0
151;17;0;17
152;5;116.33333333333336;111.33333333333336
153;95;0;95
154;19;125.66666666666667;106.66666666666667
155;82;0;82
156;61;0;61
157;19;79.0;60.0
158;25;0;25
159;233;214.0;19.0
160;170;0;170
161;22;0;22
162;53;123.3333333333334;70.3333333333334
163;9;0;9
164;25;24.333333333333332;0.6666666666666679
165;34;66.33333333333333;32.33333333333333
166;54;3.333333333333332;50.66666666666667
167;62;0;62
168;268;0;268
169;31;0;31
170;28;0;28
171;77;0;77
172;82;0;82
173;0;168.66666666666666;168.66666666666666
174;135;90.66666666666667;44.33333333333333
175;76;0;76
176;110;104.66666666666666;5.333333333333343
177;311;0;311
178;236;246.33333333333334;10.333333333333343
179;112;0;112
180;334;97.00000000000001;237.0
183;21;0;21
184;0;31.0;31.0
185;129;0;129
186;183;54.33333333333333;128.66666666666669
187;1154;0;1154
188;172;0;172
189;21;36.33333333333334;15.333333333333343
190;1;0;1
191;1177;1003.6666666666669;173.33333333333314
192;63;0;63
193;271;301.3333333333333;30.333333333333314
194;28;100.0;72.0
195;9;0;9
196;265;0;265
197;18;222.33333333333334;204.33333333333334
198;1218;0;1218
199;1144;1164.3333333333333;20.333333333333258
200;1210;1324.0;114.0
201;960;841.0;119.0
202;28;0;28
203;28;137.0;109.0
204;17;41.33333333333333;24.33333333333333
205;53;72.33333333333333;19.33333333333333
206;140;476.0;336.0
207;325;0;325
208;21;81.66666666666652;60.666666666666515
209;522;500.6666666666667;21.333333333333314
210;873;817.0;56.0
211;1294;391.3333333333333;902.6666666666667
212;434;460.3333333333333;26.333333333333314
213;42;36.66666666666667;5.333333333333329
214;88;45.33333333333334;42.66666666666666
215;1;43.66666666666666;42.66666666666666
216;307;24.333333333333332;282.6666666666667
217;20;0;20
218;222;111.33333333333333;110.66666666666667
219;560;188.33333333333334;371.66666666666663
220;249;0;249
221;132;0;132
222;166;48.666666666666664;117.33333333333334
223;174;274.6666666666667;100.66666666666669
224;107;133.33333333333334;26.333333333333343
225;44;16.666666666666668;27.333333333333332
226;81;46.33333333333334;34.66666666666666
227;18;0;18
228;1312;1292.6666666666667;19.333333333333258
229;26;0;26
230;20;104.99999999999989;84.99999999999989
231;1089;1001.0000000000001;87.99999999999989
232;10;0;10
233;78;143.33333333333334;65.33333333333334
234;27;0;27
235;55;14.333333333333343;40.66666666666666
236;84;47.66666666666667;36.33333333333333
237;983;0;983
238;1206;343.66666666666663;862.3333333333334
239;46;0;46
240;26;0;26
241;31;9.0;22.0
242;85;0;85
243;73;155.99999999999997;82.99999999999997
244;40;0;40
245;841;1019.6666666666666;178.66666666666663
246;211;282.0;71.0
247;178;142.33333333333331;35.666666666666686
248;208;0;208
249;25;51.33333333333333;26.33333333333333
250;24;15.0;9.0
251;17;0;17
252;25;0;25
253;0;31.66666666666666;31.66666666666666
254;148;0;148
255;26;115.66666666666666;89.66666666666666
256;72;0;72
257;16;43.33333333333333;27.33333333333333
259;28;64.99999999999999;36.999999999999986
260;30;0;30
261;59;29.33333333333334;29.66666666666666
262;1086;1196.0000000000002;110.00000000000023
263;0;26.333333333333332;26.333333333333332
265;29;53.00000000000003;24.00000000000003
266;45;0;45
267;71;77.33333333333336;6.333333333333357
268;82;0;82
269;274;0;274
270;229;176.66666666666666;52.33333333333334
271;328;46.33333333333334;281.66666666666663
272;315;283.0;32.0
273;7;0;7
274;15;24.333333333333332;9.333333333333332
275;392;311.3333333333333;80.66666666666669
276;445;0;445
277;465;52.666666666666686;412.3333333333333
278;198;0;198
279;494;0;494
280;930;924.0;6.0
281;957;939.6666666666664;17.3333333333336
282;437;36.66666666666694;400.33333333333303
283;72;28.333333333333332;43.66666666666667
284;45;22.666666666666668;22.333333333333332
285;39;7.333333333333332;31.666666666666668
286;26;24.333333333333332;1.6666666666666679
287;81;132.66666666666666;51.66666666666666
288;25;0;25
289;29;16.0;13.0
290;891;0;891
291;13;0;13
292;844;443.3333333333333;400.6666666666667
293;24;0;24
294;25;24.333333333333332;0.6666666666666679
295;7;0;7
296;15;0;15
297;212;225.66666666666669;13.666666666666686
298;0;94.66666666666669;94.66666666666669
299;20;0;20
300;42;0;42
301;15;24.333333333333332;9.333333333333332
