i;tmja_avant;tmja_apres;diff_tmja
1;14;0;14
2;43;0;43
3;885;40.0;845.0
4;229;347.0;118.0
5;271;18.0;253.0
6;85;81.0;4.0
7;8;23.0;15.0
8;145;0;145
9;65;0;65
10;143;0;143
11;93;18.0;75.0
12;184;0;184
13;21;170.0;149.0
14;703;0;703
15;61;0;61
16;142;0;142
17;480;524.0;44.0
18;428;0;428
19;553;0;553
20;89;0;89
21;137;157.0;20.0
22;5;0;5
23;21;90.0;69.0
24;57;0;57
25;21;0;21
26;26;64.0;38.0
28;454;333.0;121.0
29;1003;0;1003
30;564;524.0;40.0
31;519;0;519
32;20;0;20
33;35;0;35
34;16;17.0;1.0
35;0;64.0;64.0
36;72;0;72
37;55;51.0;4.0
39;732;22.0;710.0
40;801;72.0;729.0
41;125;0;125
42;149;0;149
43;32;59.0;27.0
44;63;0;63
45;57;0;57
46;97;0;97
47;26;21.0;5.0
48;301;0;301
49;277;1484.0;1207.0
50;661;0;661
51;13;0;13
52;6;0;6
53;725;63.0;662.0
54;137;0;137
55;87;0;87
56;499;0;499
57;461;1575.0;1114.0
58;102;0;102
59;590;595.0;5.0
60;606;0;606
61;1377;1473.0;96.0
62;1246;1473.0;227.0
63;563;0;563
64;1614;0;1614
65;26;0;26
66;65;51.0;14.0
67;70;157.0;87.0
68;32;0;32
69;880;0;880
70;44;266.0;222.0
71;29;106.0;77.0
72;217;0;217
73;28;29.0;1.0
74;174;0;174
75;210;127.0;83.0
76;1508;603.0;905.0
77;82;0;82
78;1965;1816.0;149.0
79;29;33.0;4.0
80;1677;1516.0;161.0
81;59;498.0;439.0
82;486;1346.0;860.0
83;64;0;64
84;8;0;8
85;18;0;18
86;106;913.0;807.0
87;875;0;875
88;422;0;422
89;496;0;496
90;240;241.0;1.0
91;507;524.0;17.0
92;708;0;708
93;287;26.0;261.0
94;14;0;14
95;2029;2014.0;15.0
96;36;0;36
97;97;236.0;139.0
98;26;0;26
99;223;198.0;25.0
100;165;0;165
101;52;0;52
102;140;0;140
103;700;0;700
104;27;0;27
105;286;1571.0;1285.0
106;316;0;316
107;6;0;6
108;36;0;36
109;223;392.0;169.0
110;213;392.0;179.0
111;27;0;27
112;384;420.0;36.0
113;29;0;29
114;326;0;326
115;268;1484.0;1216.0
116;257;392.0;135.0
117;309;0;309
118;383;1575.0;1192.0
120;124;1575.0;1451.0
121;349;0;349
122;42;0;42
123;376;0;376
124;1245;0;1245
125;24;0;24
126;144;0;144
127;821;236.0;585.0
128;37;0;37
129;45;0;45
130;95;0;95
131;450;1646.0;1196.0
132;1;466.0;465.0
133;251;0;251
134;217;0;217
135;1592;956.0;636.0
136;1456;0;1456
137;945;782.0;163.0
138;10;718.0;708.0
139;714;0;714
140;675;0;675
141;937;767.0;170.0
142;77;0;77
143;53;0;53
144;96;0;96
145;0;102.0;102.0
146;79;0;79
147;274;0;274
148;220;0;220
149;32;0;32
150;152;0;152
151;114;0;114
152;1;0;1
153;28;5.0;23.0
154;48;0;48
155;97;0;97
156;82;0;82
157;45;46.0;1.0
158;1;0;1
159;259;40.0;219.0
160;24;0;24
161;21;0;21
162;143;0;143
163;98;0;98
164;52;0;52
165;25;0;25
166;4;5.0;1.0
167;70;40.0;30.0
168;118;0;118
169;44;0;44
170;39;0;39
171;76;5.0;71.0
172;41;0;41
173;7;0;7
174;155;0;155
175;189;0;189
176;100;0;100
177;1281;730.0;551.0
178;311;616.0;305.0
179;189;0;189
180;1099;0;1099
181;91;69.0;22.0
182;219;547.0;328.0
183;16;303.0;287.0
184;180;0;180
185;253;244.0;9.0
186;407;1844.0;1437.0
187;460;1346.0;886.0
188;78;55.0;23.0
189;64;0;64
190;51;0;51
191;36;0;36
192;79;0;79
193;23;0;23
194;397;1739.0;1342.0
195;20;0;20
196;160;1571.0;1411.0
197;18;0;18
198;8;0;8
199;23;0;23
200;96;498.0;402.0
201;265;0;265
202;995;0;995
