i;tmja_avant;tmja_apres;diff_tmja
1;12;0;12
2;43;0;43
3;246;0;246
4;240;62.0;178.0
5;9;0;9
6;138;0;138
7;169;125.0;44.0
8;700;683.0;17.0
9;49;40.0;9.0
10;145;156.0;11.0
11;438;441.0;3.0
12;390;403.0;13.0
13;508;500.0;8.0
14;106;31.0;75.0
15;135;26.0;109.0
16;7;0;7
17;73;66.0;7.0
18;21;18.0;3.0
19;21;16.0;5.0
20;510;525.0;15.0
23;839;838.0;1.0
24;166;0;166
25;35;35.0;0.0
26;102;76.0;26.0
27;24;0;24
28;296;6.0;290.0
29;284;0;284
30;32;0;32
31;632;616.0;16.0
32;520;527.0;7.0
33;473;0;473
34;123;118.0;5.0
35;612;51.0;561.0
36;1333;1531.0;198.0
37;539;356.0;183.0
38;879;876.0;3.0
39;215;171.0;44.0
40;167;171.0;4.0
41;221;205.0;16.0
42;1541;1119.0;422.0
43;1995;1993.0;2.0
44;82;0;82
45;488;496.0;8.0
46;11;0;11
47;104;0;104
48;974;970.0;4.0
49;415;0;415
50;242;0;242
51;725;724.0;1.0
52;7;0;7
53;2035;2056.0;21.0
54;192;212.0;20.0
55;1822;1814.0;8.0
56;215;242.0;27.0
57;152;0;152
58;17;5.0;12.0
59;292;292.0;0.0
60;303;6.0;297.0
61;2;0;2
62;189;182.0;7.0
63;34;15.0;19.0
64;424;420.0;4.0
65;358;358.0;0.0
66;288;0;288
67;227;214.0;13.0
68;335;0;335
70;135;118.0;17.0
71;343;21.0;322.0
72;358;361.0;3.0
73;1032;975.0;57.0
74;20;17.0;3.0
75;39;0;39
76;52;0;52
77;89;0;89
79;268;277.0;9.0
80;1583;1513.0;70.0
81;964;234.0;730.0
82;712;721.0;9.0
83;685;0;685
85;1;15.0;14.0
86;23;21.0;2.0
87;87;90.0;3.0
88;81;40.0;41.0
89;37;42.0;5.0
90;2;0;2
91;252;221.0;31.0
92;21;10.0;11.0
93;24;0;24
94;146;140.0;6.0
95;1;0;1
96;126;100.0;26.0
97;48;0;48
98;78;42.0;36.0
99;5;53.0;48.0
100;153;109.0;44.0
101;1327;894.0;433.0
102;418;439.0;21.0
103;46;37.0;9.0
104;47;44.0;3.0
105;22;25.0;3.0
106;153;137.0;16.0
107;23;0;23
108;32;0;32
109;89;4.0;85.0
110;1068;1072.0;4.0
111;69;0;69
112;23;16.0;7.0
113;89;14.0;75.0
114;193;154.0;39.0
115;189;148.0;41.0
116;35;63.0;28.0
117;262;234.0;28.0
118;141;96.0;45.0
119;174;196.0;22.0
120;1;0;1
121;186;189.0;3.0
122;733;0;733
123;938;63.0;875.0
124;21;12.0;9.0
125;648;650.0;2.0
126;46;0;46
127;725;714.0;11.0
128;1;5.0;4.0
129;17;25.0;8.0
130;34;39.0;5.0
131;220;199.0;21.0
132;192;32.0;160.0
133;50;61.0;11.0
134;46;43.0;3.0
135;728;567.0;161.0
136;215;203.0;12.0
137;12;0;12
138;76;69.0;7.0
139;98;102.0;4.0
141;60;64.0;4.0
142;245;254.0;9.0
143;294;304.0;10.0
147;175;172.0;3.0
148;16;0;16
149;3;5.0;2.0
150;50;42.0;8.0
151;1000;944.0;56.0
152;63;68.0;5.0
153;283;301.0;18.0
154;16;0;16
155;1184;31.0;1153.0
156;351;234.0;117.0
157;1169;0;1169
158;1226;1177.0;49.0
159;20;28.0;8.0
160;459;457.0;2.0
161;55;26.0;29.0
162;22;24.0;2.0
163;75;50.0;25.0
164;135;126.0;9.0
165;335;331.0;4.0
166;319;298.0;21.0
167;162;175.0;13.0
168;1136;1130.0;6.0
169;539;500.0;39.0
170;1282;1323.0;41.0
171;18;34.0;16.0
172;52;20.0;32.0
174;319;318.0;1.0
175;549;396.0;153.0
176;282;0;282
177;17;0;17
178;219;237.0;18.0
179;174;198.0;24.0
180;122;136.0;14.0
181;31;0;31
182;111;126.0;15.0
183;81;64.0;17.0
184;18;0;18
185;1363;1367.0;4.0
186;28;34.0;6.0
187;33;34.0;1.0
188;39;39.0;0.0
189;60;64.0;4.0
190;74;63.0;11.0
191;69;63.0;6.0
192;52;0;52
193;24;448.0;424.0
194;424;0;424
195;35;0;35
196;1583;1474.0;109.0
197;19;24.0;5.0
198;948;955.0;7.0
199;89;0;89
200;45;48.0;3.0
201;900;893.0;7.0
202;209;164.0;45.0
203;44;0;44
204;25;26.0;1.0
205;68;76.0;8.0
206;18;21.0;3.0
207;310;0;310
208;27;24.0;3.0
209;46;43.0;3.0
210;24;0;24
212;66;56.0;10.0
213;12;29.0;17.0
214;1132;1134.0;2.0
217;25;0;25
218;49;70.0;21.0
219;68;73.0;5.0
220;89;70.0;19.0
221;269;50.0;219.0
222;12;0;12
223;312;0;312
224;335;343.0;8.0
225;6;0;6
226;390;381.0;9.0
227;441;0;441
228;467;190.0;277.0
229;159;0;159
230;112;0;112
231;50;14.0;36.0
232;20;0;20
233;113;112.0;1.0
234;145;149.0;4.0
235;23;24.0;1.0
236;25;0;25
237;906;222.0;684.0
238;28;25.0;3.0
239;25;0;25
240;174;198.0;24.0
241;19;0;19
242;26;0;26
244;24;3.0;21.0
245;40;0;40
246;230;263.0;33.0
247;20;0;20
248;25;0;25
249;23;25.0;2.0
250;16;34.0;18.0
251;570;598.0;28.0
252;117;49.0;68.0
253;15;0;15
254;128;85.0;43.0
255;45;56.0;11.0
256;23;12.0;11.0
257;609;574.0;35.0
258;621;594.0;27.0
259;167;173.0;6.0
260;70;81.0;11.0
262;259;0;259
263;316;13.0;303.0
264;1061;1050.0;11.0
265;22;34.0;12.0
266;34;0;34
267;13;1.0;12.0
268;878;0;878
269;15;0;15
270;6;24.0;18.0
271;17;0;17
272;9;0;9
273;33;14.0;19.0
274;24;0;24
275;258;275.0;17.0
276;35;0;35
277;23;0;23
278;23;22.0;1.0
279;50;39.0;11.0
280;11;14.0;3.0
281;147;6.0;141.0
282;148;0;148
283;16;21.0;5.0
284;316;0;316
285;341;361.0;20.0
287;48;32.0;16.0
288;50;0;50
289;25;0;25
290;76;74.0;2.0
291;22;22.0;0.0
292;17;5.0;12.0
293;70;25.0;45.0
294;27;0;27
295;31;0;31
296;22;21.0;1.0
297;190;177.0;13.0
299;23;0;23
300;21;19.0;2.0
301;23;0;23
302;15;0;15
303;75;61.0;14.0
304;23;0;23
305;519;502.0;17.0
307;67;45.0;22.0
308;45;59.0;14.0
309;21;20.0;1.0
310;97;51.0;46.0
311;1;0;1
312;24;23.0;1.0
