i;tmja_avant;tmja_apres;diff_tmja
1;10;0;10
2;38;0;38
3;864;0;864
4;238;0;238
5;254;0;254
6;92;0;92
7;3;0;3
8;131;0;131
9;54;0;54
10;135;0;135
11;67;0;67
12;186;0;186
13;26;0;26
14;721;0;721
15;46;0;46
16;143;0;143
17;461;0;461
18;396;0;396
19;513;0;513
20;102;0;102
21;125;0;125
22;5;0;5
23;27;0;27
24;52;0;52
25;17;0;17
26;20;0;20
28;415;0;415
29;1064;0;1064
30;553;0;553
31;491;0;491
32;20;0;20
33;39;0;39
34;29;0;29
36;16;0;16
37;63;0;63
38;28;0;28
40;739;0;739
41;821;0;821
42;98;0;98
43;32;0;32
44;183;0;183
45;45;0;45
46;79;0;79
47;54;0;54
48;81;0;81
49;20;0;20
50;296;0;296
51;290;0;290
52;22;0;22
53;646;0;646
54;8;0;8
55;2;0;2
56;715;0;715
57;97;0;97
58;92;0;92
59;498;0;498
60;441;0;441
61;118;0;118
62;536;0;536
63;625;0;625
64;1404;0;1404
65;1279;0;1279
66;567;0;567
67;1684;0;1684
68;26;0;26
69;78;0;78
70;67;0;67
71;39;0;39
72;927;0;927
73;44;0;44
74;15;0;15
75;215;0;215
76;20;0;20
77;27;0;27
78;183;0;183
79;232;0;232
80;1555;0;1555
81;102;0;102
82;2003;0;2003
83;48;0;48
84;1735;0;1735
85;68;0;68
86;498;0;498
87;51;0;51
88;8;0;8
89;16;0;16
90;108;0;108
91;924;0;924
92;393;0;393
93;479;0;479
94;255;0;255
95;448;0;448
96;730;0;730
97;272;0;272
98;16;0;16
99;2060;0;2060
100;44;0;44
101;107;0;107
102;31;0;31
103;199;0;199
104;1848;0;1848
105;214;0;214
106;154;0;154
107;51;0;51
108;159;0;159
109;644;0;644
110;16;0;16
111;63;0;63
112;19;0;19
113;286;0;286
114;301;0;301
115;5;0;5
116;36;0;36
117;186;0;186
118;178;0;178
119;29;0;29
120;448;0;448
121;34;0;34
122;347;0;347
123;293;0;293
124;216;0;216
125;333;0;333
126;381;0;381
128;148;0;148
129;344;0;344
130;58;0;58
131;367;0;367
132;1009;0;1009
133;1266;0;1266
134;18;0;18
135;122;0;122
136;851;0;851
137;43;0;43
138;50;0;50
139;96;0;96
140;460;0;460
141;1;0;1
142;288;0;288
143;256;0;256
144;1619;0;1619
145;1477;0;1477
146;1031;0;1031
147;13;0;13
148;717;0;717
149;677;0;677
150;1023;0;1023
151;73;0;73
152;38;0;38
153;84;0;84
155;66;0;66
156;223;0;223
157;205;0;205
158;20;0;20
159;121;0;121
160;112;0;112
161;1;0;1
162;21;0;21
163;37;0;37
164;81;0;81
165;105;0;105
166;42;0;42
167;5;0;5
