i;value
0;19.333333333333332
1;19.333333333333332
2;19.333333333333332
3;19.333333333333332
4;19.333333333333332
5;19.333333333333332
6;19.333333333333332
7;19.333333333333332
8;19.333333333333332
9;0
10;19.333333333333332
11;0
12;19.333333333333332
13;0
14;19.333333333333332
15;19.333333333333332
16;19.333333333333332
17;19.333333333333332
18;19.333333333333332
19;19.333333333333332
20;19.333333333333332
21;0
22;0
23;19.333333333333332
24;19.333333333333332
25;19.333333333333332
26;19.333333333333332
27;0
28;19.333333333333332
29;19.333333333333332
30;19.333333333333332
31;19.333333333333332
32;19.333333333333332
33;19.333333333333332
34;19.333333333333332
35;19.333333333333332
36;19.333333333333332
37;19.333333333333332
38;19.333333333333332
39;19.333333333333332
40;19.333333333333332
41;19.333333333333332
42;19.333333333333332
43;19.333333333333332
44;19.333333333333332
45;0
46;19.333333333333332
47;0
48;19.333333333333332
49;19.333333333333332
50;19.333333333333332
51;0
52;19.333333333333332
53;19.333333333333332
54;19.333333333333332
55;19.333333333333332
56;19.333333333333332
57;19.333333333333332
58;19.333333333333332
59;19.333333333333332
60;0
61;19.333333333333332
62;19.333333333333332
63;19.333333333333332
64;19.333333333333332
65;0
66;0
67;19.333333333333332
68;19.333333333333332
69;19.333333333333332
70;0
71;19.333333333333332
72;19.333333333333332
73;19.333333333333332
74;0
75;19.333333333333332
76;0
77;19.333333333333332
78;19.333333333333332
79;19.333333333333332
80;19.333333333333332
81;19.333333333333332
82;19.333333333333332
83;19.333333333333332
84;19.333333333333332
85;19.333333333333332
86;19.333333333333332
87;19.333333333333332
88;19.333333333333332
89;19.333333333333332
90;0
91;0
92;19.333333333333332
93;19.333333333333332
94;19.333333333333332
95;19.333333333333332
96;19.333333333333332
97;0
98;19.333333333333332
99;19.333333333333332
100;19.333333333333332
101;19.333333333333332
102;19.333333333333332
103;19.333333333333332
104;19.333333333333332
105;19.333333333333332
106;19.333333333333332
107;19.333333333333332
108;19.333333333333332
109;19.333333333333332
110;19.333333333333332
111;19.333333333333332
112;19.333333333333332
113;19.333333333333332
114;19.333333333333332
115;19.333333333333332
116;19.333333333333332
117;19.333333333333332
118;19.333333333333332
119;19.333333333333332
120;19.333333333333332
121;19.333333333333332
122;0
123;0
124;0
125;19.333333333333332
126;19.333333333333332
127;0
128;19.333333333333332
129;0
130;19.333333333333332
131;19.333333333333332
132;19.333333333333332
133;0
134;19.333333333333332
135;19.333333333333332
136;19.333333333333332
137;0
138;0
139;19.333333333333332
140;0
141;19.333333333333332
142;19.333333333333332
143;19.333333333333332
144;19.333333333333332
145;19.333333333333332
146;19.333333333333332
147;19.333333333333332
148;19.333333333333332
149;19.333333333333332
150;0
151;0
152;0
153;0
154;19.333333333333332
155;0
156;19.333333333333332
157;19.333333333333332
158;0
159;0
160;19.333333333333332
161;19.333333333333332
162;19.333333333333332
163;0
164;19.333333333333332
165;19.333333333333332
166;19.333333333333332
167;19.333333333333332
168;19.333333333333332
169;19.333333333333332
170;19.333333333333332
171;19.333333333333332
